ENF Site ID,Sub Region,Region,Latitude,TL,ES POC
ES2-RYK-08635,Sadiq Abad,Sukkur,28.23415   70.16874,Abdul Rasool,Shahid Ahmed
ES2-RYK-08640,Sadiq Abad,Sukkur,28.33099   69.91239,Abdul Rasool,Shahid Ahmed
ES2-KRP-08764,Ranipur,Sukkur,27.29674   68.61328,Abdul Rasool,Shahid Ahmed
ES2-RYK-08925,Sadiq Abad,Sukkur,28.213254   69.894064,Abdul Rasool,Shahid Ahmed
ES2-KRP-09184,Ranipur,Sukkur,27.11389   68.60576,Abdul Rasool,Shahid Ahmed
ES2-BRR-09198,Nausheroferoz,Sukkur,26.86106   68.26721,Abdul Rasool,Shahid Ahmed
ES2-GMT-09199,Ranipur,Sukkur,27.35402   68.50578,Abdul Rasool,Shahid Ahmed
ES2-RNP-09200,Ranipur,Sukkur,27.30624   68.51326,Abdul Rasool,Shahid Ahmed
ES2-SBP-01690,Dera Allah Yar,Jacob Abad,28.48899   68.50527,Saif Ul Islam,Abdul Waheed
ES2-SBP-01691,Dera Allah Yar,Jacob Abad,28.44527   68.42277,Saif Ul Islam,Abdul Waheed
ES2-DAY-01910,Dera Allah Yar,Jacob Abad,28.4253   67.99156,Saif Ul Islam,Abdul Waheed
ES2-KSH-01911,Kandhkot,Jacob Abad,28.4836   69.592728,Saif Ul Islam,Abdul Waheed
ES2-DAY-01942,Dera Allah Yar,Jacob Abad,28.40695   68.12647,Saif Ul Islam,Abdul Waheed
ES2-JCA-02065,Jacobabad,Jacob Abad,28.283478   68.43735,Saif Ul Islam,Abdul Waheed
ES2-SBP-02076,Dera Allah Yar,Jacob Abad,28.45926   68.46092,Saif Ul Islam,Abdul Waheed
ES2-JCA-02091,Jacobabad,Jacob Abad,28.14665   68.36243,Saif Ul Islam,Abdul Waheed
ES2-SUI-02178,Sui,Jacob Abad,28.63684   69.18685,Saif Ul Islam,Abdul Waheed
ES2-MGK-02181,Dera Allah Yar,Jacob Abad,28.52962   68.16375,Saif Ul Islam,Abdul Waheed
ES2-JCA-02339,Jacobabad,Jacob Abad,28.2617   68.42498,Saif Ul Islam,Abdul Waheed
ES2-GKH-02444,Jacobabad,Jacob Abad,28.00486   68.27438,Saif Ul Islam,Abdul Waheed
ES2-UTM-02704,Dera Allah Yar,Jacob Abad,28.17362   68.03818,Saif Ul Islam,Abdul Waheed
ES2-SUI-02705,Sui,Jacob Abad,28.64181   69.20058,Saif Ul Islam,Abdul Waheed
ES2-JCA-03121,Jacobabad,Jacob Abad,28.29152   68.43204,Saif Ul Islam,Abdul Waheed
ES2-KSH-03122,Kandhkot,Jacob Abad,28.42167   69.68948,Saif Ul Islam,Abdul Waheed
