ENF Site ID,Operator,Region,Latitude
ES2-RYK-08635,Zong,Sukkur,28.23415   70.16874
ES2-RYK-08640,Zong,Sukkur,28.33099   69.91239
ES2-BRR-09198,Zong,Sukkur,26.86106   68.26721
ES2-GMT-09199,Zong,Sukkur,27.35402   68.50578
ES2-RNP-09200,Zong,Sukkur,27.30624   68.51326
ES2-JCA-04914,Zong,Jacob Abad,28.37076   68.87376
ES2-KKO-05417,Zong,Jacob Abad,28.18668   69.19845
ES2-JCA-07399,Zong,Jacob Abad,28.29915   68.47476
ES2-TWS-07520,Zong,Jacob Abad,28.16504   69.13939
ES2-KKO-07543,Zong,Jacob Abad,28.22028   69.18317
ES2-JCA-08395,Zong,Jacob Abad,28.27824   68.42149
ES2-LKI-01080,Zong,Jacob Abad,27.849   68.70019
ES2-SCD-01366,Zong,Jacob Abad,28.1872   68.5192
ES2-SPR-03191,Zong,Jacob Abad,27.7977   68.6708
ES2-SPR-04074,Zong,Jacob Abad,27.84659   68.80012
ES2-SPR-07447,Zong,Jacob Abad,27.94034   68.63697
ES2-QBR-00579,Zong,Larkana,27.5808   67.9995
ES2-LKN-01091,Zong,Larkana,27.5532   68.22573
ES2-LKN-01093,Zong,Larkana,27.5576   68.2053
ES2-QBR-01432,Zong,Larkana,27.7787   67.94265
ES2-QBR-02747,Zong,Larkana,27.58773   68.00233
ES2-LKN-03833,Zong,Larkana,27.63551   68.11523
ES2-BDA-05414,Zong,Larkana,27.38903   68.05972
ES2-NAU-06061,Zong,Larkana,27.66281   68.37827
ES2-LKN-06089,Zong,Larkana,27.54846   68.22575
ES2-LKN-06647,Zong,Larkana,27.30323   68.08904
ES2-LKN-07442,Zong,Larkana,27.59862   68.22546
ES2-LKN-07525,Zong,Larkana,27.504   68.19919
ES2-LKN-07526,Zong,Larkana,27.5786   68.20499
ES2-QBR-08936,Zong,Larkana,27.757241   68.09155
ES2-QBR-09561,Zong,Larkana,27.583559   68.008611
ES2-KRP-00949,Telenor,Sukkur,27.5229   68.7355
ES2-DAY-03398,Telenor,Jacob Abad,28.36997   68.36275
ES2-SBP-04165,Telenor,Jacob Abad,28.52148   68.5409
ES2-BDA-01713,Telenor,Larkana,27.328682   68.026988
ES2-KRP-00951,Telenor,Sukkur,27.534   68.7622
ES2-SUK-01534,Telenor,Sukkur,27.70762   68.87782
ES2-DAY-03483,Telenor,Jacob Abad,28.4415   68.12685
ES2-DAY-03484,Telenor,Jacob Abad,28.5392   68.41491
ES2-NSD-03433,Telenor,Larkana,27.3786   67.92236
ES2-BDA-03439,Telenor,Larkana,27.33447   68.01902
ES2-RTD-05931,Telenor,Larkana,27.805779   68.295833
ES2-RYK-08638,Telenor,Sukkur,28.36   70.01
EUS-QSK-04654,USF,Larkana,27.881404   68.184741
EUS-RYK-04013,USF,Sukkur,28.4023   69.8205
EUS-GKI-04327,USF,Sukkur,27.97996   69.05923
EUS-GKI-04329,USF,Sukkur,27.63197   68.54724
EUS-GKI-04330,USF,Sukkur,27.56451   68.4441
EUS-GKI-04331,USF,Sukkur,27.45634   68.3581
EUS-GKI-04332,USF,Sukkur,27.28117   68.24066
EUS-GKI-04333,USF,Sukkur,26.98233   68.582076
EUS-GKI-04334,USF,Sukkur,26.89948   68.51358
EUS-GKI-04335,USF,Sukkur,26.790212   68.439229
EUS-GKI-04337,USF,Sukkur,27.34373   68.30727
EUS-GKI-04338,USF,Sukkur,26.86639   68.44854
EUS-QSK-04658,USF,Sukkur,27.6412   68.47942
EUS-QSK-04661,USF,Sukkur,27.30395   68.19773
EUS-QSK-04679,USF,Sukkur,27.028202   68.275193
EUS-GKI-04326,USF,Jacob Abad,28.15458   69.31546
EUS-GKI-04328,USF,Jacob Abad,27.8522531   68.894179
EUS-QSK-04681,USF,Jacob Abad,28.158622   68.946438
EUS-QSK-04655,USF,Larkana,27.82006   68.21823
EUS-QSK-04656,USF,Larkana,27.66199   68.19393
EUS-QSK-04657,USF,Larkana,27.72082   68.39632
EUS-QSK-04659,USF,Larkana,27.58112   68.33421
EUS-QSK-04660,USF,Larkana,27.38712   68.27863
EUS-QSK-04662,USF,Larkana,27.24678   68.12517
EUS-QSK-04664,USF,Larkana,27.28991   68.03054
EUS-QSK-04665,USF,Larkana,27.40428   67.99497
EUS-QSK-04666,USF,Larkana,27.90039   68.09003
EUS-QSK-04667,USF,Larkana,27.95077   68.05704
EUS-QSK-04668,USF,Larkana,27.92557   68.00937
EUS-QSK-04669,USF,Larkana,27.96153   67.89097
EUS-QSK-04670,USF,Larkana,27.91519   67.80808
EUS-QSK-04671,USF,Larkana,27.91532   67.73185
EUS-QSK-04672,USF,Larkana,27.84511   67.60513
EUS-QSK-04673,USF,Larkana,27.7844   67.73557
EUS-QSK-04674,USF,Larkana,27.76495   67.84978
EUS-QSK-04675,USF,Larkana,27.70262   67.78728
EUS-QSK-04676,USF,Larkana,27.69186   67.88423
EUS-QSK-04677,USF,Larkana,27.80358   68.03715
EUS-QSK-04678,USF,Larkana,27.82137   67.44221
EUS-QSK-04680,USF,Larkana,27.60778   67.64307
EUS-QSK-04682,USF,Larkana,27.54459   67.55912
EUS-QSK-04684,USF,Larkana,27.53524   67.75647
EUS-QSK-04686,USF,Larkana,27.39568   67.71506
EUS-QSK-04687,USF,Larkana,27.32298   67.75636
EUS-QSK-04688,USF,Larkana,27.540563   68.078297
EUS-QSK-04689,USF,Larkana,27.5572   68.019
EUS-QSK-04690,USF,Larkana,27.9636   67.82716
EUS-QSK-04691,USF,Larkana,27.86226   67.77412
EUS-QSK-04692,USF,Larkana,27.70522   67.74031
EUS-QSK-04693,USF,Larkana,27.47464   67.69994
ES2-LKN-02195,Telenor,Larkana,27.55802   68.193251
ES2-LKN-09557,Jazz,Larkana,27.537899   68.208208
ES2-LKN-09557,Telenor,Larkana,27.537899   68.208208
